index_all,date,info.match_type,info.neutral_venue,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.winner,info.overs,info.teams,info.toss.decision,info.toss.winner
691,"[datetime.date(2007, 8, 27)]",ODI,0,42,,England,50,"['England', 'India']",field,India
692,"[datetime.date(2007, 8, 30)]",ODI,0,,3,England,50,"['England', 'India']",bat,India
694,"[datetime.date(2007, 9, 5)]",ODI,0,,2,India,50,"['England', 'India']",bat,England
695,"[datetime.date(2007, 9, 8)]",ODI,0,,7,England,50,"['England', 'India']",bat,India
700,"[datetime.date(2006, 9, 18)]",ODI,0,,6,South Africa,50,"['South Africa', 'Zimbabwe']",bat,Zimbabwe
701,"[datetime.date(2006, 12, 3)]",ODI,0,,6,Bangladesh,50,"['Bangladesh', 'Zimbabwe']",field,Bangladesh
702,"[datetime.date(2006, 12, 5)]",ODI,0,26,,Bangladesh,50,"['Bangladesh', 'Zimbabwe']",field,Zimbabwe
703,"[datetime.date(2006, 12, 8)]",ODI,0,,8,Bangladesh,50,"['Bangladesh', 'Zimbabwe']",field,Bangladesh
704,"[datetime.date(2006, 12, 9)]",ODI,0,,3,Bangladesh,50,"['Bangladesh', 'Zimbabwe']",field,Bangladesh
709,"[datetime.date(2007, 1, 27)]",ODI,0,,3,West Indies,50,"['India', 'West Indies']",field,West Indies
710,"[datetime.date(2007, 1, 31)]",ODI,0,160,,India,50,"['India', 'West Indies']",field,West Indies
712,"[datetime.date(2007, 2, 11)]",ODI,0,5,,Sri Lanka,50,"['India', 'Sri Lanka']",field,India
713,"[datetime.date(2007, 2, 17)]",ODI,0,,7,India,50,"['India', 'Sri Lanka']",field,India
714,"[datetime.date(2007, 2, 14)]",ODI,0,,5,India,50,"['India', 'Sri Lanka']",bat,Sri Lanka
716,"[datetime.date(2007, 5, 10)]",ODI,0,,5,India,50,"['Bangladesh', 'India']",bat,Bangladesh
717,"[datetime.date(2007, 5, 12)]",ODI,0,46,,India,50,"['Bangladesh', 'India']",bat,India
718,"[datetime.date(2007, 9, 11)]",T20,0,,8,South Africa,20,"['South Africa', 'West Indies']",field,South Africa
721,"[datetime.date(2007, 9, 12)]",T20,1,,5,Zimbabwe,20,"['Australia', 'Zimbabwe']",bat,Australia
722,"[datetime.date(2007, 9, 13)]",T20,1,,6,Bangladesh,20,"['Bangladesh', 'West Indies']",field,Bangladesh
723,"[datetime.date(2007, 9, 13)]",T20,1,50,,England,20,"['England', 'Zimbabwe']",bat,England
725,"[datetime.date(2007, 9, 14)]",T20,1,,8,Australia,20,"['Australia', 'England']",bat,England
727,"[datetime.date(2007, 9, 15)]",T20,1,,7,Sri Lanka,20,"['New Zealand', 'Sri Lanka']",bat,New Zealand
728,"[datetime.date(2007, 9, 15)]",T20,0,,7,South Africa,20,"['South Africa', 'Bangladesh']",field,South Africa
729,"[datetime.date(2007, 9, 16)]",T20,1,10,,New Zealand,20,"['India', 'New Zealand']",field,India
730,"[datetime.date(2007, 9, 16)]",T20,1,,9,Australia,20,"['Australia', 'Bangladesh']",field,Australia
731,"[datetime.date(2007, 9, 16)]",T20,0,19,,South Africa,20,"['South Africa', 'England']",field,England
732,"[datetime.date(2007, 9, 17)]",T20,1,33,,Pakistan,20,"['Pakistan', 'Sri Lanka']",field,Sri Lanka
733,"[datetime.date(2007, 9, 18)]",T20,1,5,,New Zealand,20,"['England', 'New Zealand']",field,England
734,"[datetime.date(2007, 9, 18)]",T20,1,,6,Pakistan,20,"['Australia', 'Pakistan']",field,Pakistan
735,"[datetime.date(2007, 9, 18)]",T20,1,64,,Sri Lanka,20,"['Bangladesh', 'Sri Lanka']",field,Bangladesh
736,"[datetime.date(2007, 9, 19)]",T20,0,,6,South Africa,20,"['South Africa', 'New Zealand']",field,South Africa
737,"[datetime.date(2007, 9, 19)]",T20,1,18,,India,20,"['England', 'India']",bat,India
738,"[datetime.date(2007, 9, 20)]",T20,1,,10,Australia,20,"['Australia', 'Sri Lanka']",field,Australia
739,"[datetime.date(2007, 9, 20)]",T20,1,,4,Pakistan,20,"['Bangladesh', 'Pakistan']",field,Pakistan
740,"[datetime.date(2007, 9, 20)]",T20,0,37,,India,20,"['South Africa', 'India']",bat,India
741,"[datetime.date(2007, 9, 22)]",T20,1,,6,Pakistan,20,"['New Zealand', 'Pakistan']",bat,New Zealand
742,"[datetime.date(2007, 9, 22)]",T20,1,15,,India,20,"['Australia', 'India']",bat,India
743,"[datetime.date(2007, 9, 24)]",T20,1,5,,India,20,"['India', 'Pakistan']",bat,India
747,"[datetime.date(2007, 10, 1)]",ODI,0,119,,Sri Lanka,50,"['Sri Lanka', 'England']",bat,Sri Lanka
748,"[datetime.date(2007, 10, 4)]",ODI,0,65,,England,50,"['Sri Lanka', 'England']",bat,England
749,"[datetime.date(2007, 10, 10)]",ODI,0,,5,England,50,"['Sri Lanka', 'England']",bat,Sri Lanka
750,"[datetime.date(2007, 10, 13)]",ODI,0,107,,Sri Lanka,50,"['Sri Lanka', 'England']",bat,Sri Lanka
751,"[datetime.date(2007, 12, 11)]",T20,0,54,,Australia,20,"['Australia', 'New Zealand']",bat,Australia
752,"[datetime.date(2007, 12, 14)]",ODI,0,,7,Australia,50,"['Australia', 'New Zealand']",bat,New Zealand
754,"[datetime.date(2007, 12, 20)]",ODI,0,114,,Australia,50,"['Australia', 'New Zealand']",field,New Zealand
758,"[datetime.date(2008, 2, 1)]",T20,0,,9,Australia,20,"['Australia', 'India']",bat,India
761,"[datetime.date(2008, 2, 8)]",ODI,0,128,,Australia,50,"['Australia', 'Sri Lanka']",bat,Australia
762,"[datetime.date(2008, 2, 10)]",ODI,0,,5,India,50,"['Australia', 'India']",bat,Australia
763,"[datetime.date(2008, 2, 15)]",ODI,0,63,,Australia,50,"['Australia', 'Sri Lanka']",bat,Australia
764,"[datetime.date(2008, 2, 17)]",ODI,0,50,,Australia,50,"['Australia', 'India']",bat,Australia
765,"[datetime.date(2008, 2, 19)]",ODI,1,,2,India,50,"['India', 'Sri Lanka']",bat,Sri Lanka
767,"[datetime.date(2008, 2, 24)]",ODI,0,18,,Australia,50,"['Australia', 'India']",bat,Australia
768,"[datetime.date(2008, 2, 26)]",ODI,1,,7,India,50,"['India', 'Sri Lanka']",field,India
769,"[datetime.date(2008, 2, 29)]",ODI,0,13,,Sri Lanka,50,"['Australia', 'Sri Lanka']",bat,Sri Lanka
770,"[datetime.date(2008, 3, 2)]",ODI,0,,6,India,50,"['Australia', 'India']",bat,Australia
771,"[datetime.date(2008, 3, 4)]",ODI,0,9,,India,50,"['Australia', 'India']",bat,India
774,"[datetime.date(2007, 6, 26)]",ODI,1,,4,South Africa,50,"['India', 'South Africa']",field,South Africa
775,"[datetime.date(2007, 6, 29)]",ODI,1,,6,India,50,"['India', 'South Africa']",field,India
776,"[datetime.date(2007, 7, 1)]",ODI,1,,6,India,50,"['India', 'South Africa']",field,India
777,"[datetime.date(2007, 7, 20)]",ODI,0,70,,Sri Lanka,50,"['Sri Lanka', 'Bangladesh']",field,Bangladesh
778,"[datetime.date(2007, 7, 23)]",ODI,0,,5,Sri Lanka,50,"['Sri Lanka', 'Bangladesh']",field,Sri Lanka
779,"[datetime.date(2007, 7, 25)]",ODI,0,39,,Sri Lanka,50,"['Sri Lanka', 'Bangladesh']",field,Bangladesh
787,"[datetime.date(2008, 6, 13)]",T20,0,,9,England,20,"['England', 'New Zealand']",field,England
788,"[datetime.date(2008, 6, 15)]",ODI,0,114,,England,50,"['England', 'New Zealand']",field,New Zealand
790,"[datetime.date(2008, 6, 21)]",ODI,0,22,,New Zealand,50,"['England', 'New Zealand']",field,England
791,"[datetime.date(2008, 6, 25)]",ODI,0,,1,New Zealand,50,"['England', 'New Zealand']",field,New Zealand
792,"[datetime.date(2008, 6, 28)]",ODI,0,51,,New Zealand,50,"['England', 'New Zealand']",field,England
797,"[datetime.date(2008, 8, 22)]",ODI,0,20,,England,50,"['England', 'South Africa']",bat,England
798,"[datetime.date(2008, 8, 26)]",ODI,0,,10,England,50,"['England', 'South Africa']",bat,South Africa
799,"[datetime.date(2008, 8, 29)]",ODI,0,126,,England,50,"['England', 'South Africa']",field,South Africa
803,"[datetime.date(2007, 10, 2)]",ODI,0,84,,Australia,50,"['India', 'Australia']",field,India
804,"[datetime.date(2007, 10, 5)]",ODI,0,47,,Australia,50,"['India', 'Australia']",bat,Australia
805,"[datetime.date(2007, 10, 8)]",ODI,0,8,,India,50,"['India', 'Australia']",bat,India
806,"[datetime.date(2007, 10, 11)]",ODI,0,,9,Australia,50,"['India', 'Australia']",bat,India
807,"[datetime.date(2007, 10, 14)]",ODI,0,18,,Australia,50,"['India', 'Australia']",bat,Australia
808,"[datetime.date(2007, 10, 17)]",ODI,0,,2,India,50,"['India', 'Australia']",bat,Australia
809,"[datetime.date(2007, 10, 20)]",T20,0,,7,India,20,"['India', 'Australia']",bat,Australia
810,"[datetime.date(2007, 11, 5)]",ODI,0,,5,India,50,"['India', 'Pakistan']",bat,Pakistan
811,"[datetime.date(2007, 11, 8)]",ODI,0,,4,Pakistan,50,"['India', 'Pakistan']",bat,India
812,"[datetime.date(2007, 11, 11)]",ODI,0,46,,India,50,"['India', 'Pakistan']",field,Pakistan
813,"[datetime.date(2007, 11, 15)]",ODI,0,,6,India,50,"['India', 'Pakistan']",bat,Pakistan
814,"[datetime.date(2007, 11, 18)]",ODI,0,31,,Pakistan,50,"['India', 'Pakistan']",field,India
815,"[datetime.date(2007, 11, 23)]",T20,0,,3,South Africa,20,"['South Africa', 'New Zealand']",field,South Africa
816,"[datetime.date(2007, 11, 25)]",ODI,0,,2,South Africa,50,"['South Africa', 'New Zealand']",field,South Africa
817,"[datetime.date(2007, 11, 30)]",ODI,0,,7,New Zealand,50,"['South Africa', 'New Zealand']",bat,South Africa
818,"[datetime.date(2007, 12, 2)]",ODI,0,,5,South Africa,50,"['South Africa', 'New Zealand']",bat,New Zealand
821,"[datetime.date(2008, 1, 18)]",T20,0,,4,South Africa,20,"['South Africa', 'West Indies']",field,South Africa
822,"[datetime.date(2008, 1, 20)]",ODI,0,,6,South Africa,50,"['South Africa', 'West Indies']",field,South Africa
823,"[datetime.date(2008, 1, 25)]",ODI,0,86,,South Africa,50,"['South Africa', 'West Indies']",bat,South Africa
824,"[datetime.date(2008, 1, 27)]",ODI,0,,7,South Africa,50,"['South Africa', 'West Indies']",bat,West Indies
825,"[datetime.date(2008, 2, 1)]",ODI,0,,5,South Africa,50,"['South Africa', 'West Indies']",bat,West Indies
827,"[datetime.date(2007, 10, 18)]",ODI,0,45,,South Africa,50,"['Pakistan', 'South Africa']",bat,South Africa
828,"[datetime.date(2007, 10, 20)]",ODI,0,25,,Pakistan,50,"['Pakistan', 'South Africa']",bat,Pakistan
829,"[datetime.date(2007, 10, 23)]",ODI,0,,6,Pakistan,50,"['Pakistan', 'South Africa']",bat,South Africa
830,"[datetime.date(2007, 10, 26)]",ODI,0,,7,South Africa,50,"['Pakistan', 'South Africa']",bat,Pakistan
831,"[datetime.date(2007, 10, 29)]",ODI,0,14,,South Africa,50,"['Pakistan', 'South Africa']",bat,South Africa
832,"[datetime.date(2007, 12, 26)]",ODI,0,,6,New Zealand,50,"['New Zealand', 'Bangladesh']",field,New Zealand
834,"[datetime.date(2007, 12, 31)]",ODI,0,,10,New Zealand,50,"['New Zealand', 'Bangladesh']",field,New Zealand
837,"[datetime.date(2008, 2, 5)]",T20,0,32,,England,20,"['New Zealand', 'England']",field,New Zealand
838,"[datetime.date(2008, 2, 7)]",T20,0,50,,England,20,"['New Zealand', 'England']",bat,England
839,"[datetime.date(2008, 2, 9)]",ODI,0,,6,New Zealand,50,"['New Zealand', 'England']",bat,England
847,"[datetime.date(2007, 8, 22)]",ODI,0,,5,South Africa,50,"['Zimbabwe', 'South Africa']",bat,Zimbabwe
848,"[datetime.date(2007, 8, 25)]",ODI,0,,8,South Africa,50,"['Zimbabwe', 'South Africa']",field,South Africa
849,"[datetime.date(2007, 8, 26)]",ODI,0,28,,South Africa,50,"['Zimbabwe', 'South Africa']",bat,South Africa
851,"[datetime.date(2007, 9, 2)]",T20,1,30,,Pakistan,20,"['Bangladesh', 'Pakistan']",field,Bangladesh
856,"[datetime.date(2007, 11, 30)]",ODI,0,30,,Zimbabwe,50,"['Zimbabwe', 'West Indies']",field,West Indies
857,"[datetime.date(2007, 12, 2)]",ODI,0,110,,West Indies,50,"['Zimbabwe', 'West Indies']",field,Zimbabwe
858,"[datetime.date(2007, 12, 7)]",ODI,0,,5,West Indies,50,"['Zimbabwe', 'West Indies']",field,West Indies
859,"[datetime.date(2007, 12, 16)]",T20,0,,5,West Indies,20,"['South Africa', 'West Indies']",field,West Indies
862,"[datetime.date(2008, 4, 10)]",ODI,0,,1,West Indies,50,"['West Indies', 'Sri Lanka']",field,West Indies
868,"[datetime.date(2008, 6, 20)]",T20,0,,7,West Indies,20,"['West Indies', 'Australia']",field,West Indies
869,"[datetime.date(2008, 6, 24)]",ODI,0,84,,Australia,50,"['West Indies', 'Australia']",field,West Indies
871,"[datetime.date(2008, 6, 29)]",ODI,0,,7,Australia,50,"['West Indies', 'Australia']",field,Australia
872,"[datetime.date(2008, 7, 4)]",ODI,0,1,,Australia,50,"['West Indies', 'Australia']",field,West Indies
873,"[datetime.date(2008, 7, 6)]",ODI,0,169,,Australia,50,"['West Indies', 'Australia']",bat,Australia
876,"[datetime.date(2008, 3, 9)]",ODI,0,,9,South Africa,50,"['Bangladesh', 'South Africa']",bat,Bangladesh
877,"[datetime.date(2008, 3, 12)]",ODI,0,,7,South Africa,50,"['Bangladesh', 'South Africa']",bat,Bangladesh
878,"[datetime.date(2008, 3, 14)]",ODI,0,,7,South Africa,50,"['Bangladesh', 'South Africa']",bat,Bangladesh
885,"[datetime.date(2008, 1, 21)]",ODI,0,104,,Pakistan,50,"['Pakistan', 'Zimbabwe']",field,Zimbabwe
886,"[datetime.date(2008, 1, 24)]",ODI,0,,5,Pakistan,50,"['Pakistan', 'Zimbabwe']",bat,Zimbabwe
887,"[datetime.date(2008, 1, 27)]",ODI,0,37,,Pakistan,50,"['Pakistan', 'Zimbabwe']",bat,Pakistan
888,"[datetime.date(2008, 1, 30)]",ODI,0,,7,Pakistan,50,"['Pakistan', 'Zimbabwe']",bat,Zimbabwe
889,"[datetime.date(2008, 2, 2)]",ODI,0,,7,Pakistan,50,"['Pakistan', 'Zimbabwe']",bat,Zimbabwe
895,"[datetime.date(2008, 6, 25)]",ODI,1,131,,Sri Lanka,50,"['Bangladesh', 'Sri Lanka']",field,Bangladesh
898,"[datetime.date(2008, 6, 26)]",ODI,0,,6,India,50,"['Pakistan', 'India']",bat,Pakistan
899,"[datetime.date(2008, 6, 28)]",ODI,1,,7,India,50,"['Bangladesh', 'India']",bat,Bangladesh
900,"[datetime.date(2008, 6, 29)]",ODI,0,64,,Sri Lanka,50,"['Pakistan', 'Sri Lanka']",field,Pakistan
901,"[datetime.date(2008, 6, 30)]",ODI,1,158,,Sri Lanka,50,"['Bangladesh', 'Sri Lanka']",bat,Sri Lanka
902,"[datetime.date(2008, 7, 2)]",ODI,0,,8,Pakistan,50,"['Pakistan', 'India']",bat,India
903,"[datetime.date(2008, 7, 3)]",ODI,1,,6,India,50,"['India', 'Sri Lanka']",bat,Sri Lanka
904,"[datetime.date(2008, 7, 4)]",ODI,0,,10,Pakistan,50,"['Pakistan', 'Bangladesh']",bat,Bangladesh
905,"[datetime.date(2008, 7, 6)]",ODI,1,100,,Sri Lanka,50,"['India', 'Sri Lanka']",field,India
964,"[datetime.date(2008, 8, 30)]",ODI,0,180,,Australia,50,"['Australia', 'Bangladesh']",field,Bangladesh
965,"[datetime.date(2008, 9, 3)]",ODI,0,,8,Australia,50,"['Australia', 'Bangladesh']",bat,Bangladesh
966,"[datetime.date(2008, 9, 6)]",ODI,0,73,,Australia,50,"['Australia', 'Bangladesh']",bat,Australia
970,"[datetime.date(2008, 8, 18)]",ODI,0,,8,Sri Lanka,50,"['Sri Lanka', 'India']",bat,India
971,"[datetime.date(2008, 8, 20)]",ODI,0,,3,India,50,"['Sri Lanka', 'India']",field,India
972,"[datetime.date(2008, 8, 24)]",ODI,0,33,,India,50,"['Sri Lanka', 'India']",bat,India
976,"[datetime.date(2008, 4, 13)]",ODI,0,23,,Pakistan,50,"['Pakistan', 'Bangladesh']",bat,Pakistan
977,"[datetime.date(2008, 4, 16)]",ODI,0,,7,Pakistan,50,"['Pakistan', 'Bangladesh']",bat,Bangladesh
978,"[datetime.date(2008, 4, 19)]",ODI,0,150,,Pakistan,50,"['Pakistan', 'Bangladesh']",bat,Pakistan
979,"[datetime.date(2008, 4, 20)]",T20,0,102,,Pakistan,20,"['Pakistan', 'Bangladesh']",bat,Pakistan
980,"[datetime.date(2008, 6, 8)]",ODI,0,70,,Pakistan,50,"['Bangladesh', 'Pakistan']",field,Bangladesh
981,"[datetime.date(2008, 6, 10)]",ODI,1,140,,India,50,"['India', 'Pakistan']",bat,India
982,"[datetime.date(2008, 6, 12)]",ODI,0,,7,India,50,"['Bangladesh', 'India']",bat,Bangladesh
983,"[datetime.date(2008, 6, 14)]",ODI,1,25,,Pakistan,50,"['India', 'Pakistan']",bat,Pakistan
993,"[datetime.date(2009, 9, 4)]",ODI,0,4,,Australia,50,"['England', 'Australia']",field,England
994,"[datetime.date(2009, 9, 6)]",ODI,0,39,,Australia,50,"['England', 'Australia']",field,England
995,"[datetime.date(2009, 9, 9)]",ODI,0,,6,Australia,50,"['England', 'Australia']",bat,England
996,"[datetime.date(2009, 9, 12)]",ODI,0,,7,Australia,50,"['England', 'Australia']",bat,England
997,"[datetime.date(2009, 9, 15)]",ODI,0,,4,Australia,50,"['England', 'Australia']",bat,England
998,"[datetime.date(2009, 9, 17)]",ODI,0,111,,Australia,50,"['England', 'Australia']",bat,Australia
999,"[datetime.date(2009, 9, 20)]",ODI,0,,4,England,50,"['England', 'Australia']",field,England
1004,"[datetime.date(2008, 11, 7)]",ODI,0,61,,South Africa,50,"['South Africa', 'Bangladesh']",bat,South Africa
1008,"[datetime.date(2009, 3, 27)]",T20,0,,4,South Africa,20,"['South Africa', 'Australia']",field,South Africa
1009,"[datetime.date(2009, 3, 29)]",T20,0,17,,South Africa,20,"['South Africa', 'Australia']",field,Australia
1010,"[datetime.date(2009, 4, 3)]",ODI,0,141,,Australia,50,"['South Africa', 'Australia']",bat,Australia
1011,"[datetime.date(2009, 4, 5)]",ODI,0,,7,South Africa,50,"['South Africa', 'Australia']",bat,Australia
1012,"[datetime.date(2009, 4, 9)]",ODI,0,25,,South Africa,50,"['South Africa', 'Australia']",bat,South Africa
1013,"[datetime.date(2009, 4, 13)]",ODI,0,61,,South Africa,50,"['South Africa', 'Australia']",field,Australia
1014,"[datetime.date(2009, 4, 17)]",ODI,0,47,,Australia,50,"['South Africa', 'Australia']",field,South Africa
1020,"[datetime.date(2009, 1, 16)]",ODI,0,,3,South Africa,50,"['Australia', 'South Africa']",bat,Australia
1021,"[datetime.date(2009, 1, 18)]",ODI,0,5,,Australia,50,"['Australia', 'South Africa']",field,South Africa
1022,"[datetime.date(2009, 1, 23)]",ODI,0,,3,South Africa,50,"['Australia', 'South Africa']",bat,Australia
1023,"[datetime.date(2009, 1, 26)]",ODI,0,,8,South Africa,50,"['Australia', 'South Africa']",bat,Australia
1024,"[datetime.date(2009, 1, 30)]",ODI,0,39,,South Africa,50,"['Australia', 'South Africa']",bat,South Africa
1025,"[datetime.date(2009, 2, 1)]",ODI,0,,2,New Zealand,50,"['Australia', 'New Zealand']",bat,Australia
1026,"[datetime.date(2009, 2, 6)]",ODI,0,,6,New Zealand,50,"['Australia', 'New Zealand']",field,New Zealand
1027,"[datetime.date(2009, 2, 8)]",ODI,0,32,,Australia,50,"['Australia', 'New Zealand']",field,New Zealand
1028,"[datetime.date(2009, 2, 10)]",ODI,0,,6,Australia,50,"['Australia', 'New Zealand']",bat,New Zealand
1030,"[datetime.date(2009, 1, 11)]",T20,0,52,,Australia,20,"['Australia', 'South Africa']",bat,Australia
1031,"[datetime.date(2009, 1, 13)]",T20,0,,6,Australia,20,"['Australia', 'South Africa']",bat,South Africa
1032,"[datetime.date(2009, 2, 15)]",T20,0,1,,Australia,20,"['Australia', 'New Zealand']",bat,Australia
1038,"[datetime.date(2009, 3, 22)]",ODI,0,21,,West Indies,50,"['West Indies', 'England']",bat,West Indies
1041,"[datetime.date(2009, 4, 3)]",ODI,0,26,,England,50,"['West Indies', 'England']",field,West Indies
1042,"[datetime.date(2009, 3, 15)]",T20,0,,6,West Indies,20,"['West Indies', 'England']",field,West Indies
1048,"[datetime.date(2009, 6, 6)]",T20,1,,7,West Indies,20,"['Australia', 'West Indies']",bat,Australia
1049,"[datetime.date(2009, 6, 6)]",T20,1,25,,India,20,"['Bangladesh', 'India']",bat,India
1051,"[datetime.date(2009, 6, 7)]",T20,0,48,,England,20,"['England', 'Pakistan']",field,Pakistan
1053,"[datetime.date(2009, 6, 8)]",T20,1,,6,Sri Lanka,20,"['Australia', 'Sri Lanka']",field,Sri Lanka
1055,"[datetime.date(2009, 6, 9)]",T20,1,1,,South Africa,20,"['New Zealand', 'South Africa']",field,New Zealand
1057,"[datetime.date(2009, 6, 10)]",T20,1,15,,Sri Lanka,20,"['Sri Lanka', 'West Indies']",field,West Indies
1059,"[datetime.date(2009, 6, 11)]",T20,0,,7,South Africa,20,"['England', 'South Africa']",bat,England
1060,"[datetime.date(2009, 6, 12)]",T20,1,19,,Sri Lanka,20,"['Pakistan', 'Sri Lanka']",bat,Sri Lanka
1061,"[datetime.date(2009, 6, 12)]",T20,1,,7,West Indies,20,"['India', 'West Indies']",bat,India
1062,"[datetime.date(2009, 6, 13)]",T20,1,20,,South Africa,20,"['South Africa', 'West Indies']",field,West Indies
1063,"[datetime.date(2009, 6, 13)]",T20,1,,6,Pakistan,20,"['New Zealand', 'Pakistan']",bat,New Zealand
1065,"[datetime.date(2009, 6, 14)]",T20,0,3,,England,20,"['England', 'India']",field,India
1068,"[datetime.date(2009, 6, 16)]",T20,1,48,,Sri Lanka,20,"['New Zealand', 'Sri Lanka']",bat,Sri Lanka
1069,"[datetime.date(2009, 6, 16)]",T20,1,12,,South Africa,20,"['India', 'South Africa']",bat,South Africa
1070,"[datetime.date(2009, 6, 18)]",T20,1,7,,Pakistan,20,"['Pakistan', 'South Africa']",bat,Pakistan
1071,"[datetime.date(2009, 6, 19)]",T20,1,57,,Sri Lanka,20,"['Sri Lanka', 'West Indies']",field,West Indies
1072,"[datetime.date(2009, 6, 21)]",T20,1,,8,Pakistan,20,"['Pakistan', 'Sri Lanka']",bat,Sri Lanka
1075,"[datetime.date(2008, 11, 14)]",ODI,0,158,,India,50,"['India', 'England']",field,England
1076,"[datetime.date(2008, 11, 17)]",ODI,0,54,,India,50,"['India', 'England']",bat,India
1079,"[datetime.date(2008, 11, 26)]",ODI,0,,6,India,50,"['India', 'England']",field,India
1084,"[datetime.date(2008, 10, 11)]",T20,1,,3,Pakistan,20,"['Pakistan', 'Sri Lanka']",field,Pakistan
1085,"[datetime.date(2008, 10, 13)]",T20,1,,5,Sri Lanka,20,"['Pakistan', 'Sri Lanka']",field,Sri Lanka
1087,"[datetime.date(2008, 8, 27)]",ODI,0,46,,India,50,"['Sri Lanka', 'India']",bat,India
1088,"[datetime.date(2009, 2, 27)]",T20,0,,5,New Zealand,20,"['New Zealand', 'India']",field,New Zealand
1091,"[datetime.date(2009, 3, 14)]",ODI,0,,8,New Zealand,50,"['New Zealand', 'India']",bat,India
1093,"[datetime.date(2009, 3, 8)]",ODI,0,58,,India,50,"['New Zealand', 'India']",field,New Zealand
1097,"[datetime.date(2008, 12, 28)]",T20,0,36,,New Zealand,20,"['New Zealand', 'West Indies']",bat,New Zealand
1099,"[datetime.date(2009, 1, 7)]",ODI,0,,7,New Zealand,50,"['New Zealand', 'West Indies']",field,New Zealand
1100,"[datetime.date(2008, 11, 12)]",ODI,1,,4,Pakistan,50,"['Pakistan', 'West Indies']",bat,West Indies
1101,"[datetime.date(2008, 11, 14)]",ODI,1,24,,Pakistan,50,"['Pakistan', 'West Indies']",bat,Pakistan
1102,"[datetime.date(2008, 11, 20)]",ODI,0,,6,Sri Lanka,50,"['Zimbabwe', 'Sri Lanka']",field,Sri Lanka
1103,"[datetime.date(2008, 11, 22)]",ODI,0,,9,Sri Lanka,50,"['Zimbabwe', 'Sri Lanka']",bat,Zimbabwe
1104,"[datetime.date(2008, 11, 24)]",ODI,0,5,,Sri Lanka,50,"['Zimbabwe', 'Sri Lanka']",field,Zimbabwe
1105,"[datetime.date(2008, 11, 30)]",ODI,0,19,,Sri Lanka,50,"['Zimbabwe', 'Sri Lanka']",field,Zimbabwe
1106,"[datetime.date(2009, 6, 26)]",ODI,0,20,,India,50,"['West Indies', 'India']",bat,India
1107,"[datetime.date(2009, 6, 28)]",ODI,0,,8,West Indies,50,"['West Indies', 'India']",bat,India
1111,"[datetime.date(2009, 1, 10)]",ODI,0,38,,Zimbabwe,50,"['Bangladesh', 'Zimbabwe']",field,Bangladesh
1112,"[datetime.date(2009, 1, 14)]",ODI,0,,5,Bangladesh,50,"['Bangladesh', 'Sri Lanka']",field,Bangladesh
1113,"[datetime.date(2009, 1, 23)]",ODI,0,,6,Bangladesh,50,"['Bangladesh', 'Zimbabwe']",field,Bangladesh
1116,"[datetime.date(2009, 5, 24)]",ODI,0,,6,England,50,"['England', 'West Indies']",field,England
1117,"[datetime.date(2009, 5, 26)]",ODI,0,58,,England,50,"['England', 'West Indies']",field,West Indies
1121,"[datetime.date(2009, 1, 20)]",ODI,0,,8,Pakistan,50,"['Pakistan', 'Sri Lanka']",bat,Sri Lanka
1122,"[datetime.date(2009, 1, 21)]",ODI,0,129,,Sri Lanka,50,"['Pakistan', 'Sri Lanka']",field,Pakistan
1123,"[datetime.date(2009, 1, 24)]",ODI,0,234,,Sri Lanka,50,"['Pakistan', 'Sri Lanka']",bat,Sri Lanka
1124,"[datetime.date(2009, 2, 25)]",T20,0,,7,New Zealand,20,"['New Zealand', 'India']",field,New Zealand
1126,"[datetime.date(2009, 1, 28)]",ODI,0,,6,India,50,"['Sri Lanka', 'India']",field,India
1127,"[datetime.date(2009, 1, 31)]",ODI,0,15,,India,50,"['Sri Lanka', 'India']",bat,India
1128,"[datetime.date(2009, 2, 3)]",ODI,0,147,,India,50,"['Sri Lanka', 'India']",bat,India
1129,"[datetime.date(2009, 2, 5)]",ODI,0,67,,India,50,"['Sri Lanka', 'India']",bat,India
1130,"[datetime.date(2009, 2, 8)]",ODI,0,68,,Sri Lanka,50,"['Sri Lanka', 'India']",bat,Sri Lanka
1131,"[datetime.date(2009, 2, 10)]",T20,0,,3,India,20,"['Sri Lanka', 'India']",bat,Sri Lanka
1133,"[datetime.date(2009, 11, 15)]",T20,0,84,,South Africa,20,"['South Africa', 'England']",bat,South Africa
1134,"[datetime.date(2009, 11, 22)]",ODI,0,,7,England,50,"['South Africa', 'England']",field,England
1135,"[datetime.date(2009, 11, 27)]",ODI,0,112,,South Africa,50,"['South Africa', 'England']",bat,South Africa
1136,"[datetime.date(2009, 11, 29)]",ODI,0,,7,England,50,"['South Africa', 'England']",bat,South Africa
1205,"[datetime.date(2009, 5, 7)]",T20,1,,7,Pakistan,20,"['Australia', 'Pakistan']",field,Pakistan
1206,"[datetime.date(2009, 4, 22)]",ODI,1,,4,Pakistan,50,"['Australia', 'Pakistan']",bat,Australia
1207,"[datetime.date(2009, 4, 24)]",ODI,1,,6,Australia,50,"['Australia', 'Pakistan']",bat,Pakistan
1208,"[datetime.date(2009, 4, 27)]",ODI,1,27,,Australia,50,"['Australia', 'Pakistan']",bat,Australia
