index_all,date,info.match_type,info.neutral_venue,info.outcome.by.runs,info.outcome.by.wickets,info.outcome.winner,info.overs,info.teams,info.toss.decision,info.toss.winner
403,"[datetime.date(2017, 3, 25)]",ODI,0,90,,Bangladesh,50,"['Sri Lanka', 'Bangladesh']",field,Sri Lanka
405,"[datetime.date(2017, 4, 1)]",ODI,0,70,,Sri Lanka,50,"['Sri Lanka', 'Bangladesh']",field,Bangladesh
406,"[datetime.date(2017, 4, 4)]",T20,0,,6,Sri Lanka,20,"['Sri Lanka', 'Bangladesh']",bat,Bangladesh
407,"[datetime.date(2017, 4, 6)]",T20,0,45,,Bangladesh,20,"['Sri Lanka', 'Bangladesh']",bat,Bangladesh
408,"[datetime.date(2017, 4, 1)]",T20,0,,7,West Indies,20,"['West Indies', 'Pakistan']",bat,Pakistan
409,"[datetime.date(2017, 4, 2)]",T20,0,,7,Pakistan,20,"['West Indies', 'Pakistan']",field,Pakistan
478,"[datetime.date(2017, 6, 25)]",ODI,0,105,,India,50,"['West Indies', 'India']",field,West Indies
479,"[datetime.date(2017, 6, 30)]",ODI,0,93,,India,50,"['West Indies', 'India']",field,West Indies
480,"[datetime.date(2017, 7, 2)]",ODI,0,11,,West Indies,50,"['West Indies', 'India']",bat,West Indies
481,"[datetime.date(2017, 7, 6)]",ODI,0,,8,India,50,"['West Indies', 'India']",bat,West Indies
482,"[datetime.date(2017, 7, 9)]",T20,0,,9,West Indies,20,"['West Indies', 'India']",field,West Indies
483,"[datetime.date(2017, 6, 30)]",ODI,0,,6,Zimbabwe,50,"['Sri Lanka', 'Zimbabwe']",bat,Sri Lanka
484,"[datetime.date(2017, 7, 2)]",ODI,0,,7,Sri Lanka,50,"['Sri Lanka', 'Zimbabwe']",field,Sri Lanka
485,"[datetime.date(2017, 7, 6)]",ODI,0,,8,Sri Lanka,50,"['Sri Lanka', 'Zimbabwe']",field,Sri Lanka
487,"[datetime.date(2017, 7, 10)]",ODI,0,,3,Zimbabwe,50,"['Sri Lanka', 'Zimbabwe']",field,Zimbabwe
488,"[datetime.date(2005, 6, 13)]",T20,0,100,,England,20,"['England', 'Australia']",bat,England
489,"[datetime.date(2005, 2, 17)]",T20,0,44,,Australia,20,"['New Zealand', 'Australia']",bat,Australia
490,"[datetime.date(2005, 10, 21)]",T20,0,,5,New Zealand,20,"['South Africa', 'New Zealand']",field,New Zealand
494,"[datetime.date(2006, 9, 5)]",ODI,0,,2,Pakistan,50,"['England', 'Pakistan']",field,Pakistan
495,"[datetime.date(2006, 9, 8)]",ODI,0,,8,England,50,"['England', 'Pakistan']",bat,Pakistan
496,"[datetime.date(2006, 9, 10)]",ODI,0,,3,England,50,"['England', 'Pakistan']",field,England
497,"[datetime.date(2006, 6, 17)]",ODI,0,20,,Sri Lanka,50,"['England', 'Sri Lanka']",field,England
498,"[datetime.date(2006, 6, 20)]",ODI,0,46,,Sri Lanka,50,"['England', 'Sri Lanka']",bat,Sri Lanka
499,"[datetime.date(2006, 6, 24)]",ODI,0,,8,Sri Lanka,50,"['England', 'Sri Lanka']",bat,England
500,"[datetime.date(2006, 6, 28)]",ODI,0,33,,Sri Lanka,50,"['England', 'Sri Lanka']",bat,Sri Lanka
501,"[datetime.date(2006, 7, 1)]",ODI,0,,8,Sri Lanka,50,"['England', 'Sri Lanka']",bat,England
502,"[datetime.date(2006, 8, 28)]",T20,0,,5,Pakistan,20,"['England', 'Pakistan']",bat,England
503,"[datetime.date(2006, 6, 15)]",T20,0,2,,Sri Lanka,20,"['England', 'Sri Lanka']",bat,Sri Lanka
504,"[datetime.date(2006, 1, 9)]",T20,0,95,,Australia,20,"['Australia', 'South Africa']",bat,Australia
505,"[datetime.date(2006, 1, 15)]",ODI,0,,5,South Africa,50,"['Australia', 'South Africa']",bat,Australia
506,"[datetime.date(2006, 1, 20)]",ODI,0,59,,Australia,50,"['Australia', 'South Africa']",bat,Australia
507,"[datetime.date(2006, 2, 3)]",ODI,0,80,,Australia,50,"['Australia', 'South Africa']",bat,Australia
508,"[datetime.date(2006, 2, 5)]",ODI,0,57,,Australia,50,"['Australia', 'South Africa']",bat,Australia
509,"[datetime.date(2006, 1, 22)]",ODI,0,51,,Sri Lanka,50,"['Australia', 'Sri Lanka']",bat,Sri Lanka
510,"[datetime.date(2006, 1, 26)]",ODI,0,,5,Australia,50,"['Australia', 'Sri Lanka']",bat,Sri Lanka
511,"[datetime.date(2006, 1, 29)]",ODI,0,,6,Australia,50,"['Australia', 'Sri Lanka']",bat,Sri Lanka
512,"[datetime.date(2006, 1, 17)]",ODI,1,94,,Sri Lanka,50,"['South Africa', 'Sri Lanka']",field,South Africa
513,"[datetime.date(2006, 1, 24)]",ODI,1,9,,South Africa,50,"['South Africa', 'Sri Lanka']",bat,South Africa
514,"[datetime.date(2006, 1, 31)]",ODI,1,,5,South Africa,50,"['South Africa', 'Sri Lanka']",bat,Sri Lanka
515,"[datetime.date(2006, 2, 7)]",ODI,1,76,,Sri Lanka,50,"['South Africa', 'Sri Lanka']",bat,Sri Lanka
516,"[datetime.date(2006, 1, 3)]",ODI,0,,5,New Zealand,50,"['New Zealand', 'Sri Lanka']",field,New Zealand
517,"[datetime.date(2006, 1, 6)]",ODI,0,21,,New Zealand,50,"['New Zealand', 'Sri Lanka']",bat,New Zealand
519,"[datetime.date(2006, 2, 10)]",ODI,0,22,,Sri Lanka,50,"['Australia', 'Sri Lanka']",bat,Sri Lanka
520,"[datetime.date(2006, 2, 11)]",ODI,0,,7,India,50,"['Pakistan', 'India']",bat,Pakistan
521,"[datetime.date(2006, 2, 12)]",ODI,0,167,,Australia,50,"['Australia', 'Sri Lanka']",bat,Australia
522,"[datetime.date(2006, 2, 13)]",ODI,0,,5,India,50,"['Pakistan', 'India']",field,India
523,"[datetime.date(2006, 2, 14)]",ODI,0,,9,Australia,50,"['Australia', 'Sri Lanka']",bat,Sri Lanka
524,"[datetime.date(2006, 2, 16)]",ODI,0,,5,India,50,"['Pakistan', 'India']",field,India
526,"[datetime.date(2006, 2, 18)]",ODI,0,81,,New Zealand,50,"['New Zealand', 'West Indies']",bat,New Zealand
527,"[datetime.date(2006, 2, 19)]",ODI,0,,8,India,50,"['Pakistan', 'India']",field,India
528,"[datetime.date(2006, 2, 20)]",ODI,0,,5,Sri Lanka,50,"['Bangladesh', 'Sri Lanka']",bat,Bangladesh
529,"[datetime.date(2006, 2, 22)]",ODI,0,,4,Bangladesh,50,"['Bangladesh', 'Sri Lanka']",field,Bangladesh
530,"[datetime.date(2006, 2, 25)]",ODI,0,78,,Sri Lanka,50,"['Bangladesh', 'Sri Lanka']",field,Bangladesh
531,"[datetime.date(2006, 4, 23)]",ODI,0,,4,Australia,50,"['Bangladesh', 'Australia']",bat,Bangladesh
532,"[datetime.date(2006, 4, 26)]",ODI,0,67,,Australia,50,"['Bangladesh', 'Australia']",bat,Australia
533,"[datetime.date(2006, 4, 28)]",ODI,0,,9,Australia,50,"['Bangladesh', 'Australia']",bat,Bangladesh
534,"[datetime.date(2006, 2, 22)]",ODI,0,,3,New Zealand,50,"['New Zealand', 'West Indies']",field,New Zealand
535,"[datetime.date(2006, 2, 25)]",ODI,0,21,,New Zealand,50,"['New Zealand', 'West Indies']",bat,New Zealand
536,"[datetime.date(2006, 3, 1)]",ODI,0,91,,New Zealand,50,"['New Zealand', 'West Indies']",field,West Indies
537,"[datetime.date(2006, 3, 4)]",ODI,0,,3,West Indies,50,"['New Zealand', 'West Indies']",bat,New Zealand
538,"[datetime.date(2006, 3, 28)]",ODI,0,39,,India,50,"['India', 'England']",field,England
539,"[datetime.date(2006, 3, 31)]",ODI,0,,4,India,50,"['India', 'England']",bat,England
540,"[datetime.date(2006, 4, 3)]",ODI,0,49,,India,50,"['India', 'England']",bat,India
541,"[datetime.date(2006, 4, 12)]",ODI,0,,5,England,50,"['India', 'England']",bat,India
542,"[datetime.date(2006, 4, 15)]",ODI,0,,7,India,50,"['India', 'England']",field,India
